sequence_id,frame_index,map_id,scenario,sample_category,candidate_id,predicted_score,dynamic_cost,static_cost,guidance_cost,minimum_distance,minimum_clearance,time_of_minimum_clearance,risk_rank,score_rank,selected_by_score
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,8,3.4909274578094482,0.0010970834409818053,2.804011821746826,1.0759433507919312,1.446890950202942,0.41699492931365967,0.7222222089767456,9,13,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,9,1.4030855894088745,2.9575460303021828e-06,3.3239147663116455,0.7365187406539917,2.050825357437134,1.0418144464492798,0.6666666269302368,14,3,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,10,0.9523933529853821,0.04617171362042427,2.7373759746551514,0.7844730615615845,1.0262640714645386,-0.024968504905700684,0.7777777314186096,5,0,True
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,11,1.036036729812622,0.08087599277496338,2.6648247241973877,0.8606229424476624,0.9359542727470398,-0.11527830362319946,0.7777777314186096,3,1,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,12,1.9357563257217407,0.030189599841833115,2.655320405960083,0.9493029713630676,1.075859785079956,0.024627208709716797,0.7777777314186096,6,8,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,13,2.0258758068084717,0.00021243364608380944,2.576556921005249,0.9169221520423889,1.6236885786056519,0.5937925577163696,0.7222222089767456,10,9,False
phase8_train_0005,3,1,waypoint_ping_pong,visible_low_risk,14,1.4057108163833618,5.990606041450519e-06,3.2392640113830566,0.631014883518219,1.9792265892028809,0.9702156782150269,0.6666666269302368,12,4,False
phase8_train_0002,3,0,crossing,visible_high_risk,0,1.466769814491272,0.7941178679466248,1.815802812576294,0.944246768951416,0.45194363594055176,-0.5992889404296875,0.7777777314186096,0,6,False
phase8_train_0002,3,0,crossing,visible_high_risk,1,1.795763373374939,0.3393436670303345,1.7278441190719604,1.0941627025604248,0.6552464962005615,-0.39598608016967773,0.7777777314186096,1,7,False
phase8_train_0002,3,0,crossing,visible_high_risk,2,3.1335744857788086,0.2517412006855011,1.3606057167053223,1.0797432661056519,0.7256174683570862,-0.3256151080131531,0.7777777314186096,2,13,False
phase8_train_0002,3,0,crossing,visible_high_risk,3,1.8694992065429688,6.827314109614235e-07,1.3606443405151367,0.6754487752914429,2.1880717277526855,1.1994106769561768,0.6111111044883728,10,8,False
phase8_train_0002,3,0,crossing,visible_high_risk,4,1.4518861770629883,2.6315564127799007e-07,1.4353673458099365,0.676207959651947,2.2824647426605225,1.2938036918640137,0.6111111044883728,13,5,False
phase8_train_0002,3,0,crossing,visible_high_risk,5,1.3194104433059692,0.02778434194624424,2.621541738510132,0.86324542760849,1.0971708297729492,0.04593825340270996,0.7777777314186096,4,2,False
phase8_train_0002,3,0,crossing,visible_high_risk,6,2.1759414672851562,0.0006775504443794489,2.7570087909698486,1.0279840230941772,1.5102499723434448,0.4803539514541626,0.7222222089767456,7,11,False
phase8_train_0002,3,0,crossing,visible_high_risk,7,4.475752353668213,0.0006058855215087533,2.5994057655334473,0.9822304844856262,1.5130224227905273,0.4831264019012451,0.7222222089767456,8,14,False
